Filename	BibTex
cmu_algebra_2007	@misc{stamper2010algebra,   title={Algebra {I} 2006-2007. {Development} data set from {KDD Cup} 2010 {Educational Data Mining Challenge}},   author={Stamper, John and Niculescu-Mizil, Alexandru and Ritter, Steven and Gordon, Geoffrey J and Koedinger, Kenneth R},   year={2010},   howpublished={\\url{http://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp}} }
cmu_algebra_2009	@misc{stamper2010algebra,   title={Algebra {I} 2008-2009. {Challenge} data set from {KDD Cup} 2010 {Educational Data Mining Challenge}},   author={Stamper, John and Niculescu-Mizil, Alexandru and Ritter, Steven and Gordon, Geoffrey J and Koedinger, Kenneth R},   year={2010},   howpublished={\\url{http://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp}} }
cmu_bridging_algebra_2007	@misc{stamper2010bridge,   title={Bridge to Algebra 2006-2007. Development data set from {KDD} Cup 2010 {Educational Data Mining Challenge}},   author={Stamper, John and Niculescu-Mizil, Alexandru and Ritter, Steven and Gordon, Geoffrey J and Koedinger, Kenneth R},   year={2010},   howpublished={\\url{http://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp}} }
cmu_bridging_algebra_2009	@misc{stamper2010bridge,   title={Bridge to Algebra 2008-2009. Challenge data set from {KDD} Cup 2010 {Educational Data Mining Challenge}},   author={Stamper, John and Niculescu-Mizil, Alexandru and Ritter, Steven and Gordon, Geoffrey J and Koedinger, Kenneth R},   year={2010},   howpublished={\\url{http://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp}} }
consideration_future_consequences	@misc{CFCS_dataset,   title = {Consideration of Future Consequences Scale [dataset and codebook]},   howpublished = {\\url{http://openpsychometrics.org/_rawdata/CFCS.zip}},   url = {http://openpsychometrics.org/_rawdata/},   year = {n.d.} }
credentialform_lnirt	@book{cizek2016handbook,   title={Handbook of quantitative methods for detecting cheating on tests},   editor={Cizek, Gregory J and Wollack, James A},   year={2016},   publisher={Routledge},   address={Abingdon, England},   url={https://cran.r-project.org/web/packages/LNIRT/index.html} }
csedm_data_challenge	@misc{rivers2019csedm,     author = {Rivers, Kenneth and Price, Thomas},     title = {{CSEDM} Data Challenge v1.1},     year = {2019},     note = {Updated 2019/01/29},     howpublished = {DataShop @ CMU},     url = {https://pslcdatashop.web.cmu.edu/Files?datasetId=2865},     type = {data set} }
csedm_data_challenge_fall2019full	@misc{rivers2019csedm,     author = {Rivers, Kenneth and Price, Thomas},     title = {2nd {CSEDM} Data Challenge - {F19} All Data v1.0},     year = {2019},     note = {[data set]},     publisher = {DataShop @ CMU},     url = {https://pslcdatashop.web.cmu.edu/Files?datasetId=2865} }
csedm_data_challenge_spring2019full	@misc{rivers2019csedm,     author = {Rivers, Kenneth and Price, Thomas},     title = {2nd {CSEDM} Data Challenge - {S19} All Data v1.0},     year = {2019},     note = {[data set]},     publisher = {DataShop @ CMU},     url = {https://pslcdatashop.web.cmu.edu/Files?datasetId=2866} }
cub_relgoods	@misc{CUB,   title = {CUB: A Class of Statistical Models for Ordinal Data},   author = {Maria Iannario and Domenico Piccolo and Rosaria Simone},   year = {2023},   url = {https://cran.r-project.org/web/packages/CUB/index.html},   note = {R package} }
DbdIFdM_Puga_2021	@misc{Puga2022,   author = {Puga, J. L. and García, M. S. and Moya-Faz, F. J. and Moya-Faz, FJ and Ruiz-Ruano, A. M.},   title = {Datos brutos del {Inventario} {Friburgo} de {Mindfulness}},   year = {2022},   note = {Retrieved from osf.io/ymj6u},   url = {https://osf.io/ymj6u/},   month = {February} }
