Filename	BibTex
science_ltm	@misc{karlheinz1992euro,   title={Euro-Barometer 38.1: Consumer Protection and Perceptions of Science and Technology},   author={Karlheinz, R. and Melich, A.},   year={1992},   publisher={INRA (Europe)},   address={Brussels},   note={[computer file]},   url={https://cran.r-project.org/web/packages/ltm/index.html} }
sds	@Manual{TestGardener2023,   title = {TestGardener: Optimal Analysis of Test and Rating Scale Data},   author = {James Ramsay},   year = {2023},   note = {R package version 3.1.4},   url = {https://CRAN.R-project.org/package=TestGardener} }
sexual_compulsivity	@misc{SCS_dataset,   title = {Sexual Compulsivity Scale [dataset and codebook]},   howpublished = {\\url{http://openpsychometrics.org/_rawdata/SCS.zip}},   note = {Accessed via \\url{http://openpsychometrics.org/_rawdata/}},   year = {n.d.} }
SF12_MLCIRTwithin	@book{ware2002sf12v2,   title={SF-12v2: How to Score Version 2 of the SF-12 Health Survey},   author={Ware, John and Kosinski, Mark and Turner-Bowker, Diane and Gandek, Barbara},   year={2002},   publisher={QualityMetric Incorporated},   address={Lincoln},   url={https://cran.r-project.org/web/packages/MLCIRTwithin/index.html} }
swmd_mokken	@techreport{zijsling2017cohortonderzoek,   title={Cohortonderzoek COOL5-18: Technisch rapport meting VO-3 in 2014},   author={Zijsling, D. and Keuning, J. and Keizer-Mittelhaeuser, M.-A. and Naaijer, H. and Timmermans, A.},   year={2017},   institution={Onderwijs/Onderzoek},   type={Technical Report},   url={https://cran.r-project.org/web/packages/mokken/index.html} }
tdri	@incollection{golino2015investigando,   author = {Golino, Hudson F. and Gomes, Cristiano M.},   title = {Investigando est{\\'a}gios de desenvolvimento do racioc{\\'\\i}nio indutivo usando a an{\\'a}lise fatorial confimat{\\'o}ria, o Modelo Log{\\'\\i}stico Simples de Rasch e o modelo de teste log{\\'\\i}stico linear (Rasch Estendido)},   booktitle = {Psicometria Contempor{\\^a}nea: Compreendendo os Modelos Rasch},   editor = {Golino, Hudson F. and Gomes, Cristiano M. and Amantes, Amanda and Coelho, Gabriel},   year = {2015},   pages = {283--331},   publisher = {Casa do Psic{\\'o}logo/Pearson},   address = {S{\\~a}o Paulo},   url = {https://figshare.com/articles/dataset/TDRI_dataset_csv/3142321} }
tenseness_pcmrs	@misc{ZPID2013,   author = {ZPID},   title = {PsychData of the {Leibniz} {Institute} for {Psychology} {Information} {ZPID}},   year = {2013},   address = {Trier},   publisher = {Center for Research Data in Psychology},   url = {https://cran.r-project.org/web/packages/PCMRS/index.html} }
timss_tam	@Manual{TAM2022,   title = {TAM: Test Analysis Modules},   author = {Alexander Robitzsch and Thomas Kiefer and Margaret Wu},   year = {2022},   note = {R package version 4.1-4},   url = {https://CRAN.R-project.org/package=TAM} }
Veterans.Affairs.SSVF.Survey.2016-17	@misc{va_ssvf_survey,   title = {VA SSVF Survey Data},   author = {Data Liberation Project},   year = {2023},   howpublished = {\\url{https://www.data-liberation-project.org/datasets/va-ssvf-survey-data/}},   url = {https://github.com/data-liberation-project/va-ssvf-survey-data},   note = {Accessed: 2023} }
Veterans.Affairs.SSVF.Survey.2018-20	@misc{va_ssvf_survey,   title = {VA SSVF Survey Data},   author = {Data Liberation Project},   year = {2023},   howpublished = {\\url{https://www.data-liberation-project.org/datasets/va-ssvf-survey-data/}},   url = {https://github.com/data-liberation-project/va-ssvf-survey-data},   note = {Accessed: 2023} }
vocabulary_iq	@misc{VIQT2018,   title = {Vocabulary {IQ} {Test} [dataset and codebook]},   year = {2018},   url = {http://openpsychometrics.org/_rawdata/VIQT_data.zip},   howpublished = {\\url{http://openpsychometrics.org/_rawdata/}} }
wordsum	@techreport{malhotra2007psychometric,   title={The psychometric properties of the GSS Wordsum vocabulary test},   author={Malhotra, Neil and Krosnick, Jon A and Haertel, Edward},   year={2007},   institution={GSS},   number={11},   pages={1--63},   type={Methodological Report},   url={https://gss.norc.org/get-the-data/stata} }
wpi_math_assistments	@misc{heffernan2010,   author = {Heffernan, N.},   year = {2010},   title = {2004-2005 question level data [data set]},   publisher = {DataShop @ CMU},   url = {https://pslcdatashop.web.cmu.edu/Files?datasetId=92} }
